id,muin_city,attraction_site,coordinates,category,review,website,phone,address,created_at,updated_at
497,,Green Acres Funeral Home & Green Acres Cemetery,"50.69122878123186, -96.98025137810679",Funeral home,4.2,https://www.dignitymemorial.com/en-ca/funeral-homes/winnipeg-mb/green-acres-funeral-home-and-cemetery/3753,12042223241,"Hwy. #1 East at, Navin Rd, Winnipeg, MB R2C 2Z3, Canada",27-Jul-22,27-Jul-22
498,,Greenridge Cemetery,"49.14650177792013, -97.01008311070872",Cemetery,,,,,27-Jul-22,27-Jul-22
499,,GREENWOOD CEMETERY,"49.51516440829054, -98.0131499911551",Cemetery,,,,"393 Main St S, Carman, MB R0G 0J0, Canada",27-Jul-22,27-Jul-22
500,,Gretchen’s grave,"49.51125287747472, -96.69150450997454",Pet cemetery,3,,,"338 Brandt St, Steinbach, MB R5G 2J8, Canada",27-Jul-22,27-Jul-22
501,,Grindstone Point Road,"51.34271761041019, -96.6974531316761",Tourist attraction,,,,"Grindstone Point Rd, Riverton, MB R0C 2R0, Canada",27-Jul-22,27-Jul-22
502,,Grosse Isle Heritage Site,"50.06585175167987, -97.44473062836556",Museum,,,,"Grosse Isle, MB R0C 1G0",27-Jul-22,27-Jul-22
503,,Group campsite 3,"50.88041889621234, -96.86822219121656",Campground,3,,,"Manitoba R0E 1J3, Canada",27-Jul-22,27-Jul-22
504,,Group campsite 5,"50.222793825954966, -96.90166017947554",Campground,5,,,"Manitoba R0E 1J3, Canada",27-Jul-22,27-Jul-22
505,,Grund Frelsis Lutheran Cemetery,"50.29226429283766, -99.38421486368938",Cemetery,,,,"Unnamed Road, Baldur, MB R0K 0B0, Canada",27-Jul-22,27-Jul-22
506,,Guardian - Emerson Pharmacy,"49.005584307690626, -97.21525953796582",Pharmacy,4.5,https://www.guardian-ida-remedysrx.ca/en/manitoba/emerson/emerson-pharmacy-7018678?utm_source=google&utm_medium=maps&utm_campaign=local_presence,12043732746,"21 Main St, Emerson, MB R0A 0L0, Canada",27-Jul-22,27-Jul-22
507,,Gull Harbour Campground,"51.280488331840694, -96.63034287358154",Campground,4.6,https://www.gov.mb.ca/sd/pubs/parks-protected-spaces/maps/campground_maps/hecla_gull_harbour.pdf,12049483333,"Gull Harbour, MB R0C 2R0, Canada",27-Jul-22,27-Jul-22
508,,Gull Harbour Lighthouse,"51.237764288162786, -96.58654102282846",Historical landmark,4.6,https://lighthousefriends.com/light.asp?ID=1711,,"Manitoba R0C 2R0, Canada",27-Jul-22,27-Jul-22
509,,Gunner Arena,"49.974416514142774, -99.65731829443206",Arena,4.2,,,"Torquay Rd, Shilo, MB R0K 2A0, Canada",27-Jul-22,27-Jul-22
510,,Gympcy Lake,"51.34656261384728, -96.08685501707447",Swimming lake,,,,"Manitoba R0E 0J0, Canada",27-Jul-22,27-Jul-22
511,,Hackers & Smackers Golf Driving Range,"49.84798022225513, -97.25698462135425",Golf driving range,4.2,12048974747,,"921 Elmhurst Rd, Winnipeg, MB R3R 3X8, Canada",27-Jul-22,27-Jul-22
512,,Halcrow Lake Golf & Country,"54.43733375692626, -101.39210958050005",Golf course,4.4,http://www.halcrowlakegolf.ca/,12046272300,"14 Golf Course Road, The Pas, MB R9A 1M3, Canada",27-Jul-22,27-Jul-22
513,,Hamilton House,"49.915405000251795, -97.11516712875793",Historical landmark,5,http://www.mhs.mb.ca/docs/mb_history/55/psychicresearch.shtml,12044530133,"185 Henderson Hwy, Winnipeg, MB R2L 1L5, Canada",27-Jul-22,27-Jul-22
514,,Hamiota & District Sports Complex,"50.378546296257134, -100.61804318103181",Sports complex,4.3,https://hamiota.com/parksandrecreation/hamiota-district-sports-complex/,12047642283,"200 Maple Ave E, Hamiota, MB R0M 0T0, Canada",27-Jul-22,27-Jul-22
515,,Hampton Inn by Hilton Winnipeg Airport/Polo Park,"50.077030129366214, -97.21577591907507",3-star hotel,4.4,https://www.hilton.com/en/hotels/ywgaphx-hampton-winnipeg-airport-polo-park/?SEO_id=GMB-AMER-HX-YWGAPHX&y_source=1_MjA4NDkxNC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,12047723000,"730 Berry St, Winnipeg, MB R3H 0S6, Canada",27-Jul-22,27-Jul-22
516,,Hanbury Hill,"49.86995998605105, -99.94880822821459",Park,4.6,http://brandon.ca/recreation-parks/hanbury-hill9,,"1-19 Buffalo Way, Brandon, MB R7A 6V6, Canada",27-Jul-22,27-Jul-22
517,,Happy Eagle Park,"49.94956056443738, -98.34253852516261",Park,5,,,"Dakota Dr, Dakota Tipi, MB R1N 3X6",27-Jul-22,27-Jul-22
518,,Happyland Campground,"49.50526785861418, -99.65371177026508",Campground,4.4,,12045282653,"Front St E, Ninette, MB R0K 1R0, Canada",27-Jul-22,27-Jul-22
519,,Happyland Park,"49.89431094025847, -97.10083219925392",Park,4.4,http://winnipeg.ca/publicworks/parksOpenSpace/ThingsToDo/DiscGolf.stm,,http://winnipeg.ca/publicworks/parksOpenSpace/ThingsToDo/DiscGolf.stm,27-Jul-22,27-Jul-22
520,,Happyland Park Disc Golf,"49.90300848930741, -97.10046129385033",,4.6,,,"558 Prosper St, Winnipeg, MB R2J 0M9, Canada",27-Jul-22,27-Jul-22
521,,Harbour View Golf Course,"49.938284494285284, -97.01982727053101",Golf course,4.1,https://www.lakelandgolfmanagement.com/our-golf-courses/harbour-view,12042222751,"Springfield Rd, Winnipeg, MB R2C 2Z2, Canada",27-Jul-22,27-Jul-22
522,,Harte Trail,"53.07194088461108, -97.30245913618083",Wildlife park,4.7,http://www.hartetrail.com/,,"Unnamed Road, Winnipeg, MB, Canada",27-Jul-22,27-Jul-22
523,,Hartney Golf Course,"52.15290318630323, -102.22707047769829",Golf club,4.3,http://www.hartney.ca/,12048582011,"26 Provincial Trunk Hwy 21, Hartney, MB R0M 0X0, Canada",27-Jul-22,27-Jul-22
524,,Harvest Moon Festival ,,,,,,"Clearwater, MB",27-Jul-22,27-Jul-22
525,,Harvester Outdoors,"50.240983229882985, -96.86347193019074",Outdoor sports store,4.7,,18883215728,"506 Mercy St, Selkirk, MB R1A 2B1, Canada",27-Jul-22,27-Jul-22
526,,Haunt Manor - Hayrides & Haunted Houses,"45.63754782146095, -79.47081460780528",Theme park,3.9,https://www.hauntmanor.com/,18444037227,"9387 Lundy's Ln, Niagara Falls, ON L2H 0T7, Canada",27-Jul-22,27-Jul-22
527,,Haunted Hollows Scream Park,"45.725281837503864, -79.39057459931436",Haunted house,4.9,http://hauntedhollows.ca/,19053928068,"18444 Yonge St, East Gwillimbury, ON L9N 0J4, Canada",27-Jul-22,27-Jul-22
528,,Haunted House of Wax,"46.24784716253501, -78.27715246865552",Haunted house,4,https://www.niagarafallsusa.com/directory/haunted-house-of-wax/,17168040670,"South, 222 Rainbow Blvd, Niagara Falls, NY 14303, United States",27-Jul-22,27-Jul-22
529,,Haywood Saint-Denis Roman Catholic Cemetery,"49.747937510269594, -98.18273646198608",Cemetery,,,,"39 St Augustine St, Haywood, MB R0G 0W0, Canada",27-Jul-22,27-Jul-22
530,,Hazelridge Sports Complex,"50.06684376281001, -96.66738021034189",Arena,3.8,http://www.hazelridgesports.ca/,12047553331,"26 Memorial Blvd, Hazelridge, MB R0E 0Y0, Canada",27-Jul-22,27-Jul-22
531,,Headingley Grand Trunk Trail,"49.85397165035748, -97.47379353433044",Hiking area,4.5,,,"Cartier, MB R0G 2N0",27-Jul-22,27-Jul-22
532,,Hebrew Sick Benefit Cemetery,"50.92240372671565, -97.13703160542738",Cemetery,1,,,"2605 McPhillips St, Winnipeg, MB R2P 2T9, Canada",27-Jul-22,27-Jul-22
533,,Hecla Island Range Rear Lighthouse,"51.078427901453615, -96.75283156567001",Historical landmark,,https://www.ibiblio.org/lighthouse/mb.htm,,"Riverton, MB R0C 2R0, Canada",27-Jul-22,27-Jul-22
534,,Hecla Provincial Park,"51.08237677585737, -96.8618534473832",State park,4.8,https://www.gov.mb.ca/sd/parks/park-maps-and-locations/central/hecla.html,,"Provincial Trunk Highway 8, Lake, Winnipeg, MB",27-Jul-22,27-Jul-22
535,,Hecla School,"51.155410864316, -96.67334269363252",Tourist attraction,3,,,"Manitoba R0C 2R0, Canada",27-Jul-22,27-Jul-22
536,,Hecla-Grindstone Provincial Park,"51.15001673104124, -96.78829893585467",State park,4.6,https://www.gov.mb.ca/sd/parks/park-maps-and-locations/central/hecla.html,12043782261,"Manitoba, Canada",27-Jul-22,27-Jul-22
537,,Heebie Jeebies,"49.79009028693639, -97.25277086069917",Haunted house,4.5,http://www.heebie-jeebies.ca/,,"Box 70048 Kenaston PO, Winnipeg, MB R3P 0X6",27-Jul-22,27-Jul-22
538,,Heritage Cemetery,"50.3802247165083, -96.81404351106694",Cemetery,5,,,"395 Loewen Blvd, Steinbach, MB R5G 0B3, Canada",27-Jul-22,27-Jul-22
539,,Heritage North Museum Inc,"55.73366468165918, -97.8547253811727",Museum,4.5,https://www.thompson.ca/p/heritage-north-museum,12046772216,"162 Princeton Dr, Thompson, MB R8N 2A4, Canada",27-Jul-22,27-Jul-22
540,,Heritage Park,"51.1414479980234, -100.0714807467681",Park,5,,,"Dauphin, MB R7N 1H5, Canada",27-Jul-22,27-Jul-22
541,,Heritage Park Softball Complex,"40.517270095772375, -94.78184468977493",Softball field,4.3,http://www.stjoemo.info/index.aspx?NID=427,18162715500,"2202 Waterworks Rd, St Joseph, MO 64501, United States",27-Jul-22,27-Jul-22
542,,Heritage Sports League,,Sports club,,http://www.heritagesports.ca/,12043817712,,27-Jul-22,27-Jul-22
543,,Heuboden Cemetery,"49.14415716792822, -97.72803009049655",Cemetery,,,,"4799+HC, Blumengart, MB R0G 1R0, Canada",27-Jul-22,27-Jul-22
544,,Hidden Hills RV Park,"50.98913228886412, -96.04807628526912",Campground,4.6,https://hiddenhillsrvpark.com/about/,12043452735,"90035 HWY 315, Poplar Bay, MB R0E 1A0, Canada",27-Jul-22,27-Jul-22
545,,Hidden Valley Campground,"50.06915925653741, -99.45046470976284",Hotel,4.8,http://www.hiddenvalleyrvpark.net/,12048250165,"Belmont, MB R0K 0C0, Canada",27-Jul-22,27-Jul-22
546,,Hide n Seek Winnipeg,"49.81188008717738, -97.23212966718293",Indoor playground,4.5,http://hidenseekwinnipeg.com/,12045040577,"305 Fort Whyte Way #100, Oak Bluff, MB R4G 0B1",27-Jul-22,27-Jul-22
547,,Highway 10 Skate Park,"54.76931537219005, -101.83821655106493",Skateboard park,,,,"Flin Flon, MB R8A 1R7, Canada",27-Jul-22,27-Jul-22
548,,Hillcrest Memorials,"49.2448611975196, -97.94732930864744",Monument maker,4,https://www.hillcrestmemorials.ca/,12043257445,"64 Schantz St S N, Schanzenfeld, MB R6W 1M2, Canada",27-Jul-22,27-Jul-22
549,,Hillside Cemetery,"50.88944875711852, -98.28675327244515",Cemetery,,,12042398353,"25 St NW, Portage la Prairie, MB R0H 1N1, Canada",27-Jul-22,27-Jul-22
550,,Hnausa Beach Campground,"50.90005079970779, -96.99383886403407",Campground,5,,12043782946,"Hnausa Beach Provincial Park, Riverton, MB R0C 2R0",27-Jul-22,27-Jul-22
551,,Hobbs Resort,"53.26622061702602, -99.40597167522661",Resort,4.8,,,"Grand Rapids, MB R0C 1E0",27-Jul-22,27-Jul-22
552,,Holiday Mountain Resort,"49.23739334296271, -98.69404321624648",,,,,"12 Later Way, La Rivière, MB R0G 1A0",27-Jul-22,27-Jul-22
553,,Holland Agricultural Grounds & Racetrack,"50.40644781577336, -98.92312098521658",Campground,,,12045262263,"Park, Holland, MB R0G 0X0, Canada",27-Jul-22,27-Jul-22
554,,Holy Angel Mausoleum,"50.360838319309956, -97.01895476368666",Cemetery,5,,12042223241,"Hwy. #1 East at, Navin Rd, Winnipeg, MB R2C 2Z3, Canada",27-Jul-22,27-Jul-22
555,,Holy Family Cemetery,"50.98824369356146, -97.18929168120093",Cemetery,1,http://www.holyfamilycemetery.ca/,12045826695,"4355 Main St, West Saint Paul, MB R4A 3A4, Canada",27-Jul-22,27-Jul-22
556,,Holy Ghost Roman Catholic Cemetery,"50.078439656047614, -97.04449423971056",Cemetery,,,,"West Saint Paul, MB R4A 3A4, Canada",27-Jul-22,27-Jul-22
557,,Holy Trinity Anglican Cemetery,"49.96041102242949, -97.37604026555961",Cemetery,,,,"Bresaylor Rd, Headingley, MB R0H, Canada, Canada",27-Jul-22,27-Jul-22
558,,Holy Trinity Ukrainian Catholic Cemetery,"50.08792787147062, -96.9568932968932",Cemetery,,,,"Manitoba R1C 0B9, Canada",27-Jul-22,27-Jul-22
559,,Hotel San Antonio,"51.025407677111325, -95.6774684005867",Conference center ,3.9,,12042775250,"Ross Ave, Bissett, MB R0E 0J0, Canada",27-Jul-22,27-Jul-22
560,,Houstons Country Roadhouse,"49.8421214565376, -99.98200427965219",Bar,3.7,https://www.facebook.com/pages/Houstons/164643203581586,12047253737,"3130 Victoria Ave, Brandon, MB R7B 3Y3, Canada",27-Jul-22,27-Jul-22
561,,Hunt Lake Hiking Trail,"49.94851225337896, -95.28518830087242",Hiking area,4.8,http://hunt-lake-hiking-trail.poi.place/,12043693157,"Trans-Canada Hwy, Whiteshell, MB R0E 2H0, Canada",27-Jul-22,27-Jul-22
562,,Hydro Park,"50.15596375313074, -96.88247429115506",Park,3.7,,,"176 Main St, Selkirk, MB R1A 1R3, Canada",27-Jul-22,27-Jul-22
563,,Hyland Provincial Recreation Park,"50.02238076332194, -97.05287064316636",Park,4.1,http://www.mhs.mb.ca/docs/sites/hylandpark.shtml,,"3014-3120 Henderson Hwy, East Saint Paul, MB R2E 0H9, Canada",27-Jul-22,27-Jul-22
564,,Hy-wire Zipline Adventures,"49.05950732891677, -98.50823333254495",Tourist attraction,4.7,http://hywirezipline.ca/,12042423396,"Rd. 4 N, Manitou, MB R0G 1G0",27-Jul-22,27-Jul-22
565,,Ice Rink,"48.243643728562006, -119.27215566589452",Ice skating rink,4.4,https://www.cityofml.com/271/Ice-Rink,15097643836,"610 Yakima Ave, Moses Lake, WA 98837, United States",27-Jul-22,27-Jul-22
566,,ICON Complimentary RV Stopover Campsite,"49.351640307357535, -97.81350189815058",Campground,5,http://www.icondirect.com/,18883624266,"925 Roblin Blvd E, Winkler, MB R6W 0N2, Canada",27-Jul-22,27-Jul-22
567,,Idle Wheels RV Park,"50.565733993463894, -96.9976715631015",Campground,4.3,https://www.facebook.com/idlewheels/,12046425060,"Husavik Rd 106N, Manitoba R0C 1B0",27-Jul-22,27-Jul-22
568,,IG Field,"52.509534707933085, -97.08886832578938",Stadium,4.5,http://www.bluebombers.com/,12047847448,"315 Chancellor Matheson Rd, Winnipeg, MB R3T 1Z2, Canada",27-Jul-22,27-Jul-22
569,,Ile des Chenes - Grande Pointe Arena,"49.94233534203023, -96.91082541145704",Arena,4.3,https://www.rectimes.app/idcarena,12048783104,"Rivard St, Ile des Chênes, MB R0A 0T0, Canada",27-Jul-22,27-Jul-22
570,,Interlake Cremation & Memorial Services Inc,"50.88677390689876, -96.9855746658487",Funeral home,5,https://interlakecremation.ca/services-2/,12044821040,"374 Main St, Selkirk, MB R1A 1T8, Canada",27-Jul-22,27-Jul-22
571,,International Peace Garden,"49.14422953578281, -100.06923699710423",Park,4.7,http://peacegarden.com/,18884326733,"10939 Highway 281, Boissevain, MB R0K 0E0, Canada",27-Jul-22,27-Jul-22
572,,InterVarsity Circle Square Ranch Spruce Woods,"49.912510221151344, -98.76933589726265",Summer camp,4.6,https://www.csranchsprucewoods.ca/,12047232669,"Ladysmith, MB R0H 0C0, Canada",27-Jul-22,27-Jul-22
573,,Inwood Arena & Archery Range,"50.50822739311205, -97.49362160757693",Recreation center,5,,12042783455,"44 MB-229, Inwood, MB R0C 1P0",27-Jul-22,27-Jul-22
574,,Inwood Golf & Country Club,"53.94884243150576, -96.60207074920514",Golf club,4.6,http://www.inwoodgolf.net/,12042783536,"hwy 17N, Inwood, MB R0C 1P0, Canada",27-Jul-22,27-Jul-22
575,,Island Park and Crescent Lake,"49.96467459353729, -98.28937548008251",Park,4.5,http://city-plap.com/,,"441 Crescent Rd E, Portage la Prairie, MB",27-Jul-22,27-Jul-22
576,,Island Park Picnic Shelters,"49.96656510341915, -98.28886783978098",Picnic ground,4.5,,12042398346,"38 George Hill Dr, Southport, MB R0H 1N1, Canada",27-Jul-22,27-Jul-22
577,,Island Park Playground,"49.96541893034211, -98.28983653389598",Playground,5,,,"38 George Hill Dr, Portage la Prairie, MB R1N 3A3",27-Jul-22,27-Jul-22
578,,Itsanitaq Museum,"58.77044199360203, -94.1668630110849",Museum,4.7,https://www.travelmanitoba.com/listings/itsanitaq-museum/555/,12046752030,"242 La Vérendrye Ave, Churchill, MB R0B 0E0",27-Jul-22,27-Jul-22
579,,J and g Cricket Field,"49.83180054052196, -99.87684238313628",Playground,,,,"Brandon, MB R7A 7L2, Canada",27-Jul-22,27-Jul-22
580,,J. Creek Grain & Berries,"49.13197787195242, -96.91394590854753",Farm,5,,12043244661,"Box 6, 24036 9N, Woodmore, MB R0A 2M0, Canada",27-Jul-22,27-Jul-22
581,,Jacobson Park,"49.816193012858214, -99.95340237380867",Park,,,,"Magnolia Drive @, Maple Ridge Crescent, Brandon, MB R7A 6N9, Canada",27-Jul-22,27-Jul-22
582,,Jeux Canada Games Stadium,"47.90161356662077, -65.79980733604609",Athletic field,4.6,http://www.unb.ca/,,"100 Tucker Park Rd, Saint John, NB E2K 5E2, Canada",27-Jul-22,27-Jul-22
583,,JIM STEEP,"49.87574678217671, -97.23389394073273",Golf instructor,5,http://jimsteep.com/,12047826786,"400 Shaftesbury Blvd, Winnipeg, MB R3P 0M1, Canada",27-Jul-22,27-Jul-22
584,,Joe Doupe Recreation Centre,"49.92022825796706, -97.16159793550499",Recreation center,4.3,https://umanitoba.ca/community/sport-recreation/recreation-services/joe-doupe-recreation-centre,12047893858,"727 McDermot Ave, Winnipeg, MB R3E 3P5, Canada",27-Jul-22,27-Jul-22
585,,Johann G. Barkman heritage walkway,"49.533274624306486, -96.68086174453015",Hiking area,,,,"Steinbach, MB R5G 0E8, Canada",27-Jul-22,27-Jul-22
586,,John Blumberg Golf Course,"50.44966713847809, -97.4370316464033",Golf course,3.3,http://www.johnblumberggolf.com/,12049863490,"4540 Portage Ave, Headingley, MB R4H 1C8, Canada",27-Jul-22,27-Jul-22
587,,John Blumberg Soccer Fields,"49.87552088287172, -97.3571523814145",Sports complex,4.1,,12048310263,"3400 Portage Ave, Headingley, MB R4H 1C6",27-Jul-22,27-Jul-22
588,,John Blumberg Softball Complex,"49.873988291082355, -97.3567906577854",Softball field,4.1,https://www.leaguelineup.com/welcome.asp?url=jbsc,12048310263,"4540 Portage Ave, Headingley, MB R4H 1C6",27-Jul-22,27-Jul-22
589,,Johnny's Social Club,"54.79216849455185, -101.85233654402421",Live music venue,4.8,https://www.google.ca/url?sa=t&source=web&rct=j&url=https://m.facebook.com/johnnyssocialclub,,"177 Green St, Flin Flon, MB R8A 0G5, Canada",27-Jul-22,27-Jul-22
590,,Jordan Van Sewell Gallery,"50.04442744979256, -97.12195563604425",Art gallery,5,https://www.instagram.com/jordanvansewellgallery/,14319993061,"1 Forks Market Rd #212, Winnipeg, MB R3C 4X1, Canada",27-Jul-22,27-Jul-22
591,,July 1st Canada Day Baseball Tournament ,,,,,,"Clearwater, MB",27-Jul-22,27-Jul-22
592,,Jumpstart Playground,"49.86372004390962, -97.1730542268756",Playground,4.8,https://jumpstart.canadiantire.ca/pages/inclusive-play,,"Winnipeg, MB R3M 3E4, Canada",27-Jul-22,27-Jul-22
593,,K.R. Barkman Park,"49.52925660259077, -96.6742263266322",Park,4.5,   http://www.steinbach.ca/experience-steinbach/k.r-barkman-park/,12043466217,"510 Wilson St, Steinbach, MB R5G 1J9, Canada",27-Jul-22,27-Jul-22
594,,KANSAS UNIVERSITY SOFTBALL FIELD,"39.32367345910131, -95.35561285853471",Softball field,5,"https://kuathletics.com/facilities/arrocha-ballpark/#:~:text=The%20indoor%2011%2C000%2Dsquare%20feet,and%20an%20umpire%20locker%20room.",,"Kanwaka, KS 66049, United States",27-Jul-22,27-Jul-22
595,,Keeseekoowenin Gaming Centre,"50.82686212690444, -100.30571203247705",Casino,4.2,,12046252769,"Elphinstone, MB R0J 0N0, Canada",27-Jul-22,27-Jul-22
596,,Keeshkeemaquah Campground & RV Park,"50.057793909739544, -99.05075202800217",Campground,4,https://keeshcampground.ca/,12044662777,"Trans-Canada Highway #1, -Service Road 70W, Sidney, MB R0H 1L0, Canada",27-Jul-22,27-Jul-22
597,,Keeshkeemaquah Conference & Gaming Centre,"49.961191779881446, -98.32296427083354",Conference center,4.4,,12048561220,"5008 Crescent Rd W, Portage la Prairie, MB R1N 0X7",27-Jul-22,27-Jul-22
598,,Keith Bodley Arena,"49.9621868215149, -97.31835595798584",Ice skating rink,4.1,,12048321175,"165 Sansome Ave, Winnipeg, MB R3K 0N8, Canada",27-Jul-22,27-Jul-22
599,,Kelowna Art Gallery,"50.257975191457525, -119.37546740371842",Art gallery,4.5,http://kelownaartgallery.com/,12507622226,"1315 Water St, Kelowna, BC V1Y 9R3, Canada",27-Jul-22,27-Jul-22
600,,Kenora Recreation Centre,"50.163497465370234, -94.47329419950968",Recreation center,4.2,https://www.kenora.ca/en/visit-play/recreation-centre.aspx,18074672087,"18 Mike Richards Way, Kenora, ON P9N 1L2, Canada",27-Jul-22,27-Jul-22
601,,Kerry Park Campground,"49.365951539090176, -99.72512289963068",Campground,4.2,http://www.kerrypark.ca/,12045236000,"1001 South Railway St W, Killarney, MB R0K 1G0, Canada",27-Jul-22,27-Jul-22
602,,Keystone Centre,"49.832699505313954, -99.96070634593548",Sports complex,4.3,http://www.keystonecentre.com/,12047263500,"1175 18th St Unit 1, Brandon, MB R7A 7C5, Canada",27-Jul-22,27-Jul-22
603,,Keystone Cinema,"49.88538507537759, -96.68409103568328",Movie theater,4.3,http://www.keystonecinema.net/,12043265861,"353 Elmdale St, Steinbach, MB R5G 0E9, Canada",27-Jul-22,27-Jul-22
604,,Keystone Lions Park,"49.84206087426327, -99.93268849242544",Playground,,http://www.brandon.ca/playgrounds,,"704 Rideau St, Brandon, MB R7A 6Z5, Canada",27-Jul-22,27-Jul-22
605,,Keystone Source For Sports,"50.1984055951122, -96.86653363909456",Sporting goods store,5,https://www.sourceforsports.ca/pages/keystone-selkirk-source-for-sports,12044827552,"417 Main St, Selkirk, MB R1A 1V2, Canada",27-Jul-22,27-Jul-22
606,,Kiche Manitou Campground,"49.83906174137458, -99.2738555931676",Campground,4.6,https://www.gov.mb.ca/sd/parks/park-maps-and-locations/western/spruce.html,12048348800,"Unnamed Rd,, Cypress River, MB R0K 0P0, Canada",27-Jul-22,27-Jul-22
607,,Kiinu Oasis Gaming Centre,"49.99296318403842, -97.31997995203092",Casino,4.1,http://www.kiinugaming.ca/,12046330067,"Hwy 236 & Hwy 6, Rosser, MB",27-Jul-22,27-Jul-22
608,,Kilcona Off-leash Dog Park,"49.94555776458108, -97.041292919823",Dog park,4.5,http://winnipeg.ca/publicworks/parksOpenSpace/OffLeashDogParks/default.stm,"Springfield Rd, Winnipeg, MB R2G 4C1, Canada","Springfield Rd, Winnipeg, MB R2G 4C1, Canada",27-Jul-22,27-Jul-22
609,,Kilcona Outback Disc Golf,"50.04076956930433, -97.04285658371374",Disc golf course,4.6,,,"1180 Springfield Rd, Winnipeg, MB R2C 2Z2, Canada",27-Jul-22,27-Jul-22
610,,Kilcona Park Lakes Disc Golf,"49.9560501422102, -97.03866320113006",,4.3,,,"Winnipeg, MB R0E 1J3, Canada",27-Jul-22,27-Jul-22
611,,Kildonan Motor Hotel,"50.042505922667125, -97.11631473476095",Casino,4,http://www.babakays.com/,12043390828,"2100 Main St, Winnipeg, MB R2V 1T4, Canada",27-Jul-22,27-Jul-22
612,,Kildonan Park,"49.94671429972833, -97.10258727427136",Park,4.6,http://www.winnipeg.ca/publicworks/parksandfields/parkbooking/bookableparks/kildonanpark.asp,18773114974,"2015 Main St, Winnipeg, MB R2V 2B9",27-Jul-22,27-Jul-22
613,,Kildonan Park Golf Course,"51.39474320283026, -96.7447141935421",Golf course,4.1,http://winnipeg.ca/golf/kildonan.stm,12049865679,"2021 Main St, Winnipeg, MB R2V 2B9, Canada",27-Jul-22,27-Jul-22
614,,Kildonan Presbyterian Cemetery,"50.88944875711852, -97.03251145388033",Cemetery,5,,12043341591,"2373 Main St, Winnipeg, MB R2V 4T6, Canada",27-Jul-22,27-Jul-22
615,,Killarney Agricultural Society Campground,"49.37310559329752, -99.67019126165711",Campground,4.4,,12045234699,"42 Water Ave, Killarney, MB R0K 1G0, Canada",27-Jul-22,27-Jul-22
616,,Kin Centre Rink,"50.16717405822685, -96.86777304853867",Sports complex,5,,12047854950,"370 Jemima St, Selkirk, MB R1A 1X3, Canada",27-Jul-22,27-Jul-22
617,,Kin Park,"49.82529810031112, -99.94027461983518",Park,4.3,,,"1651 3rd St, Brandon, MB R7A 6E6, Canada",27-Jul-22,27-Jul-22
618,,Kinette Park,"51.14819346451429, -100.05852145493361",Park,4.2,,,"5 Ave SW, Dauphin, MB R7N 1V7, Canada",27-Jul-22,27-Jul-22
619,,King Korn Maze,"49.51873739314393, -98.55265548118966",Tourist attraction,5,https://www.kingkornmaze.com/,12049792358,"Rd. 35 N, NOTRE DAME, MB R0G 1M0",27-Jul-22,27-Jul-22
620,,King Park,"44.91454696927734, -88.04723151102512",Softball field,4.6,https://greenbayphoenix.com/facilities/king-park/6,,"E Circle Dr, Green Bay, WI 54311, United States",27-Jul-22,27-Jul-22
621,,Kingdom Hall of Jehovah's Witnesses,"49.83621486682213, -99.98572887834233",Jehovah's Witness Kingdom Hall,4.7,http://jw.org/,12045713190,"3434 Park Ave, Brandon, MB R7B 3M5, Canada",27-Jul-22,27-Jul-22
622,,Kingswood Golf and Country Club,"50.01726292489587, -97.44783915960377",Public golf course,3.9,http://www.kingswoodgolf.ca/,12047364079,"28 MB-247, La Salle, MB R0G 1B0, Canada",27-Jul-22,27-Jul-22
623,,Kinsmen Centennial Pool,"49.844204918150886, -99.93293076779669",Public swimming pool,4.3,,,"411 Park St, Brandon, MB, Canada",27-Jul-22,27-Jul-22
624,,Kinsmen Heritage Park,"49.17400350004067, -97.93333450652395",Park,,,,"Scotia Dr. Winkler, MB R6W 2Y9",27-Jul-22,27-Jul-22
625,,Kinsmen Lake,"50.14144557358609, -97.32857923855867",Swimming lake,4.5,"http://stonewallquarrypark.ca/main.asp?fxoid=FXMenu,5&cat_ID=1&sub_ID=17&sub2_ID=9",12044677980,"459 4 Ave N, Stonewall, MB R0C 2Z0",27-Jul-22,27-Jul-22
626,,Kinsmen-Allard Arena,"49.89186973225878, -97.30753899405771",Arena,3.8,https://m.facebook.com/profile.php?id=140240029428845,12048856824,"80 Allard Ave, Winnipeg, MB R3K 0K6, Canada",27-Jul-22,27-Jul-22
627,,Kippechewin Campground,"51.097349582295344, -100.00806823129442",Campground,5,https://www.pc.gc.ca/en/voyage-travel/reserve,,"Unnamed Road, Wasagaming, MB R0J 2H0, Canada",27-Jul-22,27-Jul-22
628,,Kirby Kinette Park,"51.15757048827059, -100.0447068276572",City park,4.6,,,"Kirby Ave W, Dauphin, MB R7N 0G5, Canada",27-Jul-22,27-Jul-22
629,,Kirkham Park,"50.06245298075034, -97.07423873206616",Park,3.7,,,"249 Glencairn Rd, Winnipeg, MB R2V 4V9, Canada",27-Jul-22,27-Jul-22
630,,Kischikamee adventure inc,"58.768215327963986, -94.16114297000013",Tour operator,5,https://kischikamee.com/,18665156555,"86 Hearne St, Churchill, MB R0B 0E0",27-Jul-22,27-Jul-22
